restaurant_id,cuisine
res_bbe64353e2663574,North Indian
res_bbe64353e2663574,Chinese
res_bbe64353e2663574,Street Food
res_6e0d244d6b508b7c,Fast Food
res_fa5415a7eda3d35a,Juices
res_fa5415a7eda3d35a,Fast Food
res_930f880833433dd5,South Indian
res_930f880833433dd5,Chinese
res_930f880833433dd5,Street Food
res_4bf18ac2590a351b,Fast Food
res_4bf18ac2590a351b,Desserts
res_4bf18ac2590a351b,Ice Cream
res_57dcc6c1388d716a,Cafe
res_57dcc6c1388d716a,Fast Food
res_57dcc6c1388d716a,Chinese
res_fed6358224b287a6,Biryani
res_7e71b1a8466e1960,North Indian
res_7e71b1a8466e1960,Chinese
res_5a868c7f8c29786b,Fast Food
res_b802029bf7e60456,North Indian
res_b802029bf7e60456,Chinese
res_8ce1c62bce6ce1ce,Desserts
res_8ce1c62bce6ce1ce,Momos
res_e7f873fa2b70a7e2,Fast Food
res_1a1dd50e8b92c460,Cafe
res_1a1dd50e8b92c460,Continental
res_1a1dd50e8b92c460,Fast Food
res_7e21830ad9f9c7cd,Mithai
res_7e21830ad9f9c7cd,Street Food
res_4104a6689fca8915,South Indian
res_2629bc4420248dd6,North Indian
res_2629bc4420248dd6,Chinese
res_2629bc4420248dd6,Fast Food
res_0b71b456ad5aa093,Cafe
res_0b71b456ad5aa093,Italian
res_0b71b456ad5aa093,Pizza
res_38d79f09c50ffc2f,Beverages
res_38d79f09c50ffc2f,Tea
res_4118c972446fb141,North Indian
res_4118c972446fb141,Seafood
res_4118c972446fb141,Chinese
res_53d45d607dea70e9,Chinese
res_53d45d607dea70e9,Thai
res_53d45d607dea70e9,Continental
res_53d45d607dea70e9,North Indian
res_2c27deae04971033,South Indian
res_2c27deae04971033,Fast Food
res_7d6ad1ac1be330ab,South Indian
res_7d6ad1ac1be330ab,North Indian
res_7d6ad1ac1be330ab,Chinese
res_94e3b0d41736745f,Mithai
res_94e3b0d41736745f,South Indian
res_94e3b0d41736745f,Street Food
res_94e3b0d41736745f,Fast Food
res_daca9548f260f966,South Indian
res_daca9548f260f966,North Indian
res_daca9548f260f966,Chinese
res_b996ee4ebb976325,South Indian
res_b996ee4ebb976325,North Indian
res_b996ee4ebb976325,Desserts
res_d0aa0ce237b68ae6,South Indian
res_d0aa0ce237b68ae6,Burger
res_73e4f7f5b0a571ab,Cafe
res_73e4f7f5b0a571ab,Beverages
res_72d7ba837a420ca8,Beverages
res_72d7ba837a420ca8,Desserts
res_ea5aecc7d192fee5,North Indian
res_ea5aecc7d192fee5,Chinese
res_58318ca4951cdbfd,Biryani
res_58318ca4951cdbfd,Fast Food
res_3bf1497f274db129,Cafe
res_3bf1497f274db129,Fast Food
res_72f3160673461a90,Mangalorean
res_72f3160673461a90,Seafood
res_72f3160673461a90,North Indian
res_89c4bc3b207fbae7,Biryani
res_89c4bc3b207fbae7,Chinese
res_89c4bc3b207fbae7,North Indian
res_083afb745de96157,Chinese
res_083afb745de96157,North Indian
res_590155a4b28c367e,South Indian
res_4277f2ab676120c0,Pizza
